district,name,number
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22358
Ciutat Vella,el Barri Gòtic,15734
Ciutat Vella,el Raval,47489
Ciutat Vella,la Barceloneta,15104
Eixample,Sant Antoni,38096
Eixample,el Fort Pienc,31494
Eixample,l'Antiga Esquerra de l'Eixample,41717
Eixample,la Dreta de l'Eixample,43340
Eixample,la Nova Esquerra de l'Eixample,57619
Eixample,la Sagrada Família,51299
Gràcia,Vallcarca i els Penitents,15413
Gràcia,el Camp d'en Grassot i Gràcia Nova,34043
Gràcia,el Coll,7203
Gràcia,la Salut,13166
Gràcia,la Vila de Gràcia,50448
Horta-Guinardó,Can Baró,8859
Horta-Guinardó,Horta,26554
Horta-Guinardó,Montbau,5047
Horta-Guinardó,Sant Genís dels Agudells,6884
Horta-Guinardó,el Baix Guinardó,25527
Horta-Guinardó,el Carmel,31659
Horta-Guinardó,el Guinardó,35534
Horta-Guinardó,la Clota,521
Horta-Guinardó,la Font d'en Fargues,9440
Horta-Guinardó,la Teixonera,11435
Horta-Guinardó,la Vall d'Hebron,5490
Les Corts,Pedralbes,11652
Les Corts,la Maternitat i Sant Ramon,23564
Les Corts,les Corts,45984
Nou Barris,Can Peguera,2262
Nou Barris,Canyelles,6981
Nou Barris,Ciutat Meridiana,10171
Nou Barris,Porta,24224
Nou Barris,Torre Baró,2547
Nou Barris,Vallbona,1310
Nou Barris,Verdun,12122
Nou Barris,Vilapicina i la Torre Llobeta,25336
Nou Barris,el Turó de la Peira,15466
Nou Barris,la Guineueta,15056
Nou Barris,la Prosperitat,26089
Nou Barris,la Trinitat Nova,7388
Nou Barris,les Roquetes,15564
Sant Andreu,Baró de Viver,2481
Sant Andreu,Navas,21741
Sant Andreu,Sant Andreu,56269
Sant Andreu,el Bon Pastor,12670
Sant Andreu,el Congrés i els Indians,13921
Sant Andreu,la Sagrera,28660
Sant Andreu,la Trinitat Vella,10241
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13156
Sant Martí,Provençals del Poblenou,20096
Sant Martí,Sant Martí de Provençals,25917
Sant Martí,el Besòs i el Maresme,22829
Sant Martí,el Camp de l'Arpa del Clot,37795
Sant Martí,el Clot,27035
Sant Martí,el Parc i la Llacuna del Poblenou,14613
Sant Martí,el Poblenou,33011
Sant Martí,la Verneda i la Pau,28813
Sant Martí,la Vila Olímpica del Poblenou,9364
Sants-Montjuïc,Hostafrancs,15666
Sants-Montjuïc,Sants,40854
Sants-Montjuïc,Sants - Badal,24128
Sants-Montjuïc,el Poble Sec,40278
Sants-Montjuïc,la Bordeta,18398
Sants-Montjuïc,la Font de la Guatlla,10309
Sants-Montjuïc,la Marina de Port,30047
Sants-Montjuïc,la Marina del Prat Vermell,1144
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,46466
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,24926
Sarrià-Sant Gervasi,Sarrià,24523
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4514
Sarrià-Sant Gervasi,el Putxet i el Farró,29171
Sarrià-Sant Gervasi,les Tres Torres,16161